"event_id","event_name","event_created","event_time","event_venue_lat","event_venue_lon","venue_name","venue_city"
"cjmktyrdbjc","Tennis Meetup/Tuesday @ 5:30 PM",1308011635000,1361928600000,37.288395,-121.896736,"Wallenberg Park","San Jose"
"12259776","Monday Tennis at 6:00 pm",1262938528000,1263261600000,37.288395,-121.896736,"Wallenberg Park","San Jose"
"cjmktyrdbqb","Tennis Meetup/Tuesday @ 5:30 PM",1308011635000,1.360719e+12,37.288395,-121.896736,"Wallenberg Park","San Jose"
"cjmktyrcbcb","Tennis Meetup/Tuesday @ 5:30 PM",1308011635000,1357090200000,37.288395,-121.896736,"Wallenberg Park","San Jose"
"13151506","Thursday Tennis at Wallenberg 6:00",1271018098000,1271379600000,37.288395,-121.896736,"Wallenberg Park","San Jose"
"12251596","FridayTennis at 6:00 pm",1262883881000,1263002400000,37.288395,-121.896736,"Wallenberg Park","San Jose"
"14378185","Thursday Tennis at Wallenberg 6:00",1281452360000,1281661200000,37.288395,-121.896736,"Wallenberg Park","San Jose"
"cjmktyqqbgb","Tennis Meetup/Tuesday @ 5:30 PM",1308011635000,1.354671e+12,37.288395,-121.896736,"Wallenberg Park","San Jose"
"13151496","Wednesday Tennis at Wallenberg",1271018041000,1271293200000,37.288395,-121.896736,"Wallenberg Park","San Jose"
"cjmktyrdbzb","Tennis Meetup/Tuesday @ 5:30 PM",1308011635000,1361323800000,37.288395,-121.896736,"Wallenberg Park","San Jose"
"14363181","Wednesday Tennis at Wallenberg",1281331288000,1281574800000,37.288395,-121.896736,"Wallenberg Park","San Jose"
"nzlzpypcbnc","Sunday 9:30AM Pickup at MVP Arena",1291765057000,1296408600000,37.393384,-121.916999,"MVP Arena","San Jose"
"nzlzpynqbzb","Sunday 9AM Pickup at MVP Arena (formerly Branham High School)",1279500668000,1.292778e+12,37.393384,-121.916999,"MVP Arena","San Jose"
"vtvbpynqbqb","Sunday 9AM Pickup at MVP Arena (formerly Branham High School)",1279500668000,1292173200000,37.393384,-121.916999,"MVP Arena","San Jose"
"16206899","Almaden Lake walk -dog friendly",1251173905000,1331830800000,37.247038,-121.867621,"Almaden Lake Park - East side","San Jose"
"xfrxpypcbjb","Creekside Park lunchtime game",1291162708000,1294345800000,37.316704,-122.013264,"Creekside Park","Cupertino"
"xfrxpypcbgb","Creekside Park lunchtime game",1291162708000,1.294173e+12,37.316704,-122.013264,"Creekside Park","Cupertino"
"mhklqyphbhb","[Willow Glen-Los Gatos Creek Trail] Alternate Thursday Morning Run",1297223187000,1304605800000,37.298914,-121.921812,"Blackford Elementary School","San Jose"
"15804136","Christmas day Flag Football",1293072779000,1293307200000,37.315777,-121.989239,"John Mise Park","San Jose"
