"event_id","event_name","event_venue_lat","event_venue_lon","venue_name","venue_city"
"10415094","Dinner ride to El Norte Mexican Grill",33.041378,-96.736216,"El Norte Mexican Grill","Plano"
"9593871","February Meetup of the DFW WordPress Group",33.020973,-96.710876,"Spaghetti Warehouse","Plano"
"10056221","Thriving Series: Legal Aspects Of Starting A Business - All things Legal!",33.020973,-96.710876,"Spaghetti Warehouse","Plano"
"96937912","Annual Christmas Cookie Exchange",33.030611,-96.699063,"Poor Richard's Cafe","Plano"
"qddgwcyrcbgc","BOMB Business Networking in Collin County",33.029951,-96.708866,"Original Pancake House","Plano"
"cnkmnynpbzb","Dinner at Great Wall in Plano",33.009496,-96.714145,"Great Wall","Plano"
"cnkmnypcbsb","Dinner at Great Wall in Plano",33.009496,-96.714145,"Great Wall","Plano"
"14340653","DSWA Monthly Meeting with Kelly Accetta",33.075509,-96.805729,"Campus on Legacy, 3rd Floor Conf. Room","Plano"
"14170181","DSWA Frisco/Plano Chapter",33.075509,-96.805729,"Campus on Legacy, 3rd Floor Conf. Room","Plano"
"14233359","Mega Event with 2 Powerful, Amazing Speakers",33.075509,-96.805729,"Campus on Legacy, 3rd Floor Conf. Room","Plano"
"pwwwryrfbfb","Legos and Pizza at Brooklyn's",33.086302,-96.789076,"Brooklyn's Pizzeria ","Plano"
"tlmhnynnbfb","Pizza and Legos",33.086302,-96.789076,"Brooklyn's Pizzeria ","Plano"
"ktptqyphbcb","Pizza and Legos",33.086302,-96.789076,"Brooklyn's Pizzeria ","Plano"
"pwwwryrdbfb","Legos and Pizza at Brooklyn's",33.086302,-96.789076,"Brooklyn's Pizzeria ","Plano"
"pwwwryqhbjb","Legos and Pizza at Brooklyn's",33.086302,-96.789076,"Brooklyn's Pizzeria ","Plano"
"tlmhnypfbjb","Pizza and Legos",33.086302,-96.789076,"Brooklyn's Pizzeria ","Plano"
"pwwwryrcbjb","Legos and Pizza at Brooklyn's",33.086302,-96.789076,"Brooklyn's Pizzeria ","Plano"
"tlmhnynqbhb","Pizza and Legos",33.086302,-96.789076,"Brooklyn's Pizzeria ","Plano"
"tlmhnynpbkb","Pizza and Legos",33.086302,-96.789076,"Brooklyn's Pizzeria ","Plano"
"tlmhnypcbdb","Pizza and Legos",33.086302,-96.789076,"Brooklyn's Pizzeria ","Plano"
"pwwwryqlbhb","Legos and Pizza at Brooklyn's",33.086302,-96.789076,"Brooklyn's Pizzeria ","Plano"
"tlmhnypdbjb","Pizza and Legos",33.086302,-96.789076,"Brooklyn's Pizzeria ","Plano"
"100100622","Hibachi & Drinks at Geisha Steakhouse",33.003342,-96.741492,"Geisha Steak & Sushi","Plano"
"10414115","All Groups DFW After Hour Business & Entrepreneur FREE Mixer!!",33.029537,-96.709749,"Chianti Cafe Plano - closed","Plano"
"13740251","Monkey's Pub 'n Grub",32.991243,-96.571898,"Monkey's Pub & Grub","Sachse"
"fchgpypnbhb","Texas Buy and Holdem now meeting with http://www.meetup.com/Texas-Tax-Sales-Meet",33.026717,-96.759475,"La Madeleine","Plano"
"fchgpypmblb","Texas Buy and Holdem now meeting with http://www.meetup.com/Texas-Tax-Sales-Meet",33.026717,-96.759475,"La Madeleine","Plano"
